序号	系列值	频率
1	2520	0.009708738
2	2200	0.019417476
3	1400	0.05104917
4	1210	0.082680864
5	960	0.114312559
6	920	0.145944253
7	890	0.177575947
8	880	0.209207642
9	790	0.240839336
10	784	0.27247103
11	670	0.304102725
12	650	0.335734419
13	638	0.367366113
14	590	0.398997808
15	520	0.430629502
16	510	0.462261196
17	480	0.493892891
18	470	0.525524585
19	462	0.557156279
20	440	0.588787974
21	386	0.620419668
22	368	0.652051362
23	346	0.683683057
24	322	0.715314751
25	300	0.746946445
26	288	0.77857814
27	262	0.810209834
28	240	0.841841528
29	220	0.873473223
30	200	0.905104917
31	186	0.936736611
32	160	0.968368306
